sentence,sentence_id,target_idx,instance_id,target,worker_id,general_comment,question_template_worker,question_worker,answer_worker,answer_range_worker,property_worker,comment_worker,expert_id,question_template_expert,question_expert,answer_expert,answer_range_expert,property_expert,comment_expert,mismatch_type
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,A3GWRDHAURRNK6,,What/Who is a part/member of [W]?,Who is a member of loss?,Australia,"(1, 2)",,,AZC7J87AH18DW,Whose [W]?,Whose loss?,Australia,"(1, 2)",,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A3GWRDHAURRNK6,,What is the [PROPERTY] of (the) [W]?,What is the result of (the) relation?,Hall was charged with three counts of indecent assault,"(23, 31)",result,,AZC7J87AH18DW,What/Who is a part/member of [W]?,What is a member of relation?,Hall was charged with three counts of indecent assault after being arrested Wednesday,"(23, 36)",,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,13,Wiki1k:wikinews:614764:0:1_13,females,A3GWRDHAURRNK6,,What kind of [W]?,What kind of females?,between eight and seventeen years of age,"(15, 21)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the age of (the) females?,between eight and seventeen years of age,"(15, 22)",age,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,20,Wiki1k:wikinews:614764:0:1_20,age,A3GWRDHAURRNK6,,What is the [W] a part/member of?,What is the age a part of?,three females,"(13, 14)",,,AZC7J87AH18DW,Whose [W]?,Whose age?,three females,"(13, 15)",,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,A3GWRDHAURRNK6,,What kind of [W]?,What kind of counts?,indecent assault,"(30, 31)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) counts?,indecent assault,"(30, 32)",content,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,A3GWRDHAURRNK6,,What is the [W] a part/member of?,What is the indecent a part of?,assault,"(31, 32)",,,AZC7J87AH18DW,What/Who is (the) [W]?,What is (the) indecent?,assault,"(31, 32)",,Not a noun - it's an adjective!,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A3GWRDHAURRNK6,,Whose [W]?,Whose complaints?,three females between eight and seventeen years of age,"(13, 21)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) complaints?,alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,"(6, 22)",content,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A3GWRDHAURRNK6,,What/Who is a part/member of [W]?,Who is a part of complaints?,Hall,"(23, 24)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the object of (the) complaints?,Hall,"(23, 24)",object,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A3GWRDHAURRNK6,,What/Who is a part/member of [W]?,Who is a part of assault?,three females between eight and seventeen years of age,"(13, 21)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the victim of (the) assault?,three females between eight and seventeen years of age,"(13, 22)",victim,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A3GWRDHAURRNK6,,What kind of [W]?,What kind of events?,alleged,"(6, 7)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the veracity of (the) events?,alleged,"(6, 7)",veracity,,question
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A3GWRDHAURRNK6,,What kind of [W]?,What kind of director?,film,"(4, 5)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the domain of (the) director?,film director,"(4, 6)",domain,,question
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,14,Wiki1k:wikinews:1823406:7:0_14,members,AJQGWGESKQT4Y,,What/Who is a part/member of [W]?,Who is a part of members?,one weeping woman at Juanda,"(18, 23)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,AJQGWGESKQT4Y,,What is the [PROPERTY] of (the) [W]?,What is the action of (the) woman?,weeping,"(19, 20)",action,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,AJQGWGESKQT4Y,,What is the [W] a part/member of?,What is the woman a member of?,family,"(14, 15)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,6,Wiki1k:wikinews:1823406:7:0_6,information,AJQGWGESKQT4Y,,Whose [W]?,Whose information?,one weeping woman at Juanda,"(18, 23)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,AJQGWGESKQT4Y,,Whose [W]?,Whose relation?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,AJQGWGESKQT4Y,,What kind of [W]?,What kind of relation?,to complaints,"(3, 5)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,13,Wiki1k:wikinews:614764:0:1_13,females,AJQGWGESKQT4Y,,What is the [W] a part/member of?,What is the females a part of?,alleged events between 1974 and 1984,"(6, 12)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,18,Wiki1k:wikinews:614764:0:1_18,years,AJQGWGESKQT4Y,,Whose [W]?,Whose years?,three females,"(13, 15)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,20,Wiki1k:wikinews:614764:0:1_20,age,AJQGWGESKQT4Y,,What/Who is (the) [W]?,What is (the) age?,between eight and seventeen years,"(15, 20)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,20,Wiki1k:wikinews:614764:0:1_20,age,AJQGWGESKQT4Y,,When is the [W]?,When is the age?,between 1974 and 1984,"(8, 12)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,AJQGWGESKQT4Y,,Whose [W]?,Whose counts?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,AJQGWGESKQT4Y,,What is the [PROPERTY] of (the) [W]?,What is the cause of (the) counts?,alleged events between 1974 and 1984,"(6, 12)",cause,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,AJQGWGESKQT4Y,,What/Who is (the) [W]?,Who is (the) indecent?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,AJQGWGESKQT4Y,,When is the [W]?,When is the indecent?,between 1974 and 1984,"(8, 12)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,AJQGWGESKQT4Y,,What is the [PROPERTY] of (the) [W]?,What is the result of (the) indecent?,charged with three counts of indecent assault,"(25, 32)",result,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,AJQGWGESKQT4Y,,What/Who is a part/member of [W]?,Who is a part of indecent?,involving three females between eight and seventeen years of age,"(12, 22)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,AJQGWGESKQT4Y,,What is the [PROPERTY] of (the) [W]?,What is the subject of (the) complaints?,alleged events,"(6, 8)",subject,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,AJQGWGESKQT4Y,,Whose [W]?,Whose assault?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,AJQGWGESKQT4Y,,What is the [PROPERTY] of (the) [W]?,What is the consequence of (the) assault?,arrested,"(34, 35)",consequence,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,AJQGWGESKQT4Y,,What is the [PROPERTY] of (the) [W]?,What is the result of (the) events?,Hall was charged with three counts of indecent assault,"(23, 32)",result,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,AJQGWGESKQT4Y,,What/Who is a part/member of [W]?,Who is a part of events?,involving three females between eight and seventeen years of age,"(12, 22)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,AJQGWGESKQT4Y,,What kind of [W]?,What kind of events?,indecent assault,"(30, 32)",,,,,,,,,,answer
Jenny cognitively assesses the snake in her presence .,Wiki1k:wikipedia:10406:28:0,4,Wiki1k:wikipedia:10406:28:0_4,snake,AJQGWGESKQT4Y,,Where is the [W]?,Where is the snake?,in her presence,"(6, 9)",,,,,,,,,,answer
Jenny cognitively assesses the snake in her presence .,Wiki1k:wikipedia:10406:28:0,7,Wiki1k:wikipedia:10406:28:0_7,presence,AJQGWGESKQT4Y,,What/Who is a part/member of [W]?,What is a member of presence?,the snake,"(4, 6)",,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,10,Wiki1k:wikipedia:16016:33:6_10,people,AJQGWGESKQT4Y,,What is the [PROPERTY] of (the) [W]?,What is the offering of (the) people?,food,"(5, 6)",offering,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,4,Wiki1k:wikipedia:16016:33:6_4,food,AJQGWGESKQT4Y,,What is the [PROPERTY] of (the) [W]?,What is the source of (the) food?,people,"(11, 12)",source,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,28,Wiki1k:wikipedia:19572217:14:6_28,humans,AJQGWGESKQT4Y,,What/Who is a part/member of [W]?,What is a part of humans?,16 H and 9 N subtypes,"(3, 9)",,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,28,Wiki1k:wikipedia:19572217:14:6_28,humans,AJQGWGESKQT4Y,,What is the [PROPERTY] of (the) [W]?,What is the common of (the) humans?,"H 1 , 2 and 3 , and N 1 and 2","(13, 25)",common,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,AJQGWGESKQT4Y,,How much /How many [W]?,How much /How many subtypes?,16 H and 9 N known subtypes,"(8, 9)",,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,AJQGWGESKQT4Y,,Where is the [W]?,Where is the subtypes?,commonly found in humans,"(26, 30)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,3,Wiki1k:wikipedia:26964606:106:0_3,film,AJQGWGESKQT4Y,,Whose [W]?,Whose film?,Stefan Ruzowitzky,"(12, 14)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,AJQGWGESKQT4Y,,What is the [PROPERTY] of (the) [W]?,What is the status of (the) director?,receive an Academy Award,"(7, 11)",status,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,Whose [W]?,Whose family?,our,"(13, 14)",,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many woman?,one,"(18, 19)",,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,What/Who is a part/member of [W]?,What is a member of relation?,Hall was charged with three counts of indecent assault after being arrested Wednesday,"(23, 36)",,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many counts?,three,"(27, 28)",,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) complaints?,alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,"(6, 22)",content,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the object of (the) complaints?,Hall,"(23, 24)",object,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many assault?,three counts,"(27, 29)",,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the veracity of (the) events?,alleged,"(6, 7)",veracity,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many subtypes?,16,"(3, 4)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,What kind of [W]?,What kind of subtypes?,H,"(4, 5)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many subtypes?,9,"(6, 7)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,What kind of [W]?,What kind of subtypes?,N,"(7, 8)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,What/Who is a part/member of [W]?,What is a part of subtypes?,"H 1 , 2 and 3 , and N 1 and 2","(13, 25)",,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the domain of (the) director?,film director,"(4, 6)",domain,,answer
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,AJQGWGESKQT4Y,,What kind of [W]?,What kind of loss?,to Canada,"(5, 7)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the counterpart of (the) loss?,Canada,"(6, 7)",counterpart,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,AJQGWGESKQT4Y,,What kind of [W]?,What kind of counts?,of indecent assault,"(29, 32)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) counts?,indecent assault,"(30, 32)",content,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,AJQGWGESKQT4Y,,What kind of [W]?,What kind of indecent?,assault,"(31, 32)",,,AZC7J87AH18DW,What/Who is (the) [W]?,What is (the) indecent?,assault,"(31, 32)",,Not a noun - it's an adjective!,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,AJQGWGESKQT4Y,,What/Who is a part/member of [W]?,Who is a part of assault?,three females between eight and seventeen years of age,"(13, 22)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the victim of (the) assault?,three females between eight and seventeen years of age,"(13, 22)",victim,,question
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,AJQGWGESKQT4Y,,What kind of [W]?,What kind of director?,Austrian,"(3, 4)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the nationality of (the) director?,Austrian,"(3, 4)",nationality,,question
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,AKQAI78JTXXC9,,What/Who is a part/member of [W]?,Who is a part of family?,Juanda,"(22, 23)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,AKQAI78JTXXC9,,Whose [W]?,Whose relation?,complaints about alleged events between 1974 and 1984,"(4, 12)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,20,Wiki1k:wikinews:614764:0:1_20,age,AKQAI78JTXXC9,,How much /How many [W]?,How much /How many age?,between eight and seventeen years,"(15, 20)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,AKQAI78JTXXC9,,What kind of [W]?,What kind of complaints?,about alleged events between 1974 and 1984,"(5, 12)",,,,,,,,,,answer
Jenny cognitively assesses the snake in her presence .,Wiki1k:wikipedia:10406:28:0,4,Wiki1k:wikipedia:10406:28:0_4,snake,AKQAI78JTXXC9,,Where is the [W]?,Where is the snake?,in her presence,"(6, 9)",,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,10,Wiki1k:wikipedia:16016:33:6_10,people,AKQAI78JTXXC9,,What is the [PROPERTY] of (the) [W]?,What is the action of (the) people?,offer,"(12, 13)",action,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,4,Wiki1k:wikipedia:16016:33:6_4,food,AKQAI78JTXXC9,,,,,,,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,28,Wiki1k:wikipedia:19572217:14:6_28,humans,AKQAI78JTXXC9,,What/Who is a part/member of [W]?,What is a part of humans?,N 1 and 2,"(21, 25)",,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,AKQAI78JTXXC9,,How much /How many [W]?,How much /How many subtypes?,16 H and 9 N,"(3, 8)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,3,Wiki1k:wikipedia:26964606:106:0_3,film,AKQAI78JTXXC9,,What kind of [W]?,What kind of film?,Austrian,"(3, 4)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,AKQAI78JTXXC9,,,,,,,,AZC7J87AH18DW,Whose [W]?,Whose family?,our,"(13, 14)",,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,AKQAI78JTXXC9,,,,,,,,AZC7J87AH18DW,Whose [W]?,Whose family?,one weeping woman at Juanda,"(18, 23)",,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,AKQAI78JTXXC9,,,,,,,,AZC7J87AH18DW,Where is the [W]?,Where is the woman?,at Juanda,"(21, 23)",,,answer
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,AKQAI78JTXXC9,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many loss?,50 -- 57,"(7, 10)",,,answer
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,AKQAI78JTXXC9,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the counterpart of (the) loss?,Canada,"(6, 7)",counterpart,,answer
